Location_Name,Position,Latitude,Longitude,Seabed_Type,Average_Depth,Stability,Proximity,Wildlife_Presence,Average_Wind_Speed,Average_Wave_Height,Average_Population_Density_of_Fish,Average_Population_Density_of_Birds,Wind_Consistency,Number_of_Wildlife_Migration_Paths,Score
Dogger Bank,26W,54.5,1.5,Sandbank,24.5,1,125,-2,9.5,2,1500,50,8,3,899
North Sea,23X,55,2,Sandy,35.7,0,100,-3,9,2.5,2000,60,7,5,1154.2
Celtic Sea,41M,50,-6,Mixed,73.2,1,50,-3,8.5,3,2500,70,7,4,1399.7
Irish Sea,29O,53.5,-4.5,Muddy,42.6,0,50,-2,8,2,1800,55,6,4,1011.6
English Channel,39S,50.5,-2,Gravelly,25.4,1,10,-3,7.5,1.5,1700,65,6,6,915.4
Bristol Channel,-,51.5,-3.5,Sandy/Muddy,32.8,-1,5,-2,7,1.5,1600,50,5,3,857.3
Moray Firth,13Q,58,-3,Rocky,80.3,1,30,-3,9,3,2200,75,8,5,1239.3
Firth of Forth,20R,56,-2.5,Sandy/Muddy,35.9,0,20,-3,8,2.5,1900,65,7,4,1030.4
Solent,1S,50.8,-1.3,Sandy,14.7,1,5,-2,6.5,1,1500,45,5,3,781.2
Shetland Shelf,9Q,60,-1,Gravelly/Sandy,145.6,1,50,-3,10,3.5,2300,80,8,6,1379.1
Orkney Waters,43N,59,-3,Rocky/Sandy,76.4,1,20,-3,9,3,2200,75,8,5,1225.4
Western Approaches,14L,49.5,-5,Mixed,128.3,0,30,-2,8.5,3.5,2000,70,7,4,1189.3
Hebrides Shelf,13K,57.5,-7,Sandy/Gravelly,89.1,1,60,-3,9,3,2400,75,8,5,1378.1
St George's Channel,34M,52,-5.5,Sandy/Muddy,76.3,-1,20,-2,8,2,2100,60,7,4,1169.3
The Minch,13M,58,-6,Rocky/Sandy,78.5,1,15,-3,8.5,3,2300,80,7,5,1282
Outer Thames Estuary,34Y,51.8,1.5,Sandy,22.8,0,20,-3,7.5,1.5,1600,55,6,6,864.8
North Channel,24M,54.8,-5.5,Gravelly,34.2,0,10,-2,8,2.5,1900,65,7,4,1020.7
Rockall Trough,20B,57,-13,Rocky,650.5,1,300,-3,10,4,2500,85,9,7,2238.5
